num,sheet,http / sip ,,,,,http / ftp,,,,,sip / ftp,,,,,http / http ( 50 % diff),,,,,sip / sip (50% diff),,,,,ftp / ftp (50 % diff),,,,,http / http (100% diff),,,,,sip / sip ( 100% diff),,,,,ftp / ftp (100 % diff),,,,
,,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch
44,outputSheet 44,0.5162,0.7383,0.8925,0.2853,0.5763,0.1076,0.2524,0.8505,0.1294,0.5169,0.118,0.2508,0.8544,0.1467,0.5174,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,1,0.9961,0.8213,0.8653,0.9992,1,?,0.5196,0.7304,0.9225,0.7582,0.8328,0.3615,0.6075,0.9781,0.845,0.953,0.565,0.7,0.4468,1,1,0,0
45,outputSheet 45,0.5173,0.7432,0.8925,0.2854,0.5765,0.1047,0.2524,0.8506,0.1289,0.5167,0.1178,0.2475,0.8546,0.1469,0.5173,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,1,0.996,0.8206,0.8653,0.9989,1,?,0.4877,0.6928,0.9101,0.8039,0.7469,0.2468,0.553,0.9781,0.8516,0.953,0.5652,0.6999,0.998,1,1,0.3014,0.5832
46,outputSheet 46,0.4881,0.7134,0.8926,0.2711,0.5831,0.1055,0.2485,0.8486,0.1623,0.524,0.1192,0.2508,0.8546,0.1469,0.5172,1,1,1,1,1,0.9997,0.9915,0.996,0.8213,0.8651,0.9989,1,?,0.3826,0.6382,0.9384,0.7875,0.8033,0.3276,0.5901,0.9778,0.845,0.9532,0.5652,0.6998,0.9538,1,1,0,0
47,outputSheet 47,0.4895,0.7152,0.8723,0.2714,0.5834,0.1043,0.2485,0.8489,0.1622,0.5238,0.1169,0.2575,0.8548,0.1462,0.517,1,1,1,1,1,0.9997,0.9833,0.9961,0.8217,0.8654,0.9991,1,?,0.4237,0.644,0.9358,0.7484,0.833,0.3705,0.6163,0.9774,0.8321,0.9525,0.5651,0.6997,0.4438,1,1,0.1042,0.5109
48,outputSheet 48,0.5166,0.7432,0.8723,0.2857,0.5765,0.1065,0.2524,0.8502,0.1298,0.5168,0.1164,0.2475,0.8541,0.147,0.5173,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,1,0.9959,0.8211,0.8649,0.9992,1,?,0.6372,0.7859,0.9227,0.7566,0.8332,0.3497,0.5945,0.9776,0.8516,0.953,0.5652,0.6995,0.4709,1,1,0,0
49,outputSheet 49,0.5168,0.7365,0.8925,0.2851,0.5761,0.1049,0.2524,0.8477,0.1312,0.5172,0.1167,0.2441,0.8519,0.1483,0.518,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,1,0.9961,0.8217,0.8652,0.9988,1,?,0.4852,0.6866,0.9552,0.7285,0.9425,0.3571,0.6344,0.9779,0.8583,0.9533,0.5651,0.6996,0.8078,1,1,0,0
50,outputSheet 50,0.5173,0.7365,0.8927,0.285,0.576,0.1045,0.2524,0.8496,0.1297,0.5168,0.1179,0.2441,0.8536,0.1476,0.5176,0.9767,0.9574,0.9417,0.7331,0.7331,0.9997,1,0.996,0.821,0.8654,0.9987,1,?,0.4926,0.6908,0.9552,0.7285,0.9302,0.3222,0.5746,0.9788,0.8583,0.9533,0.5653,0.6999,0.5331,1,1,0,0
1,outputSheet 1,0.6021,0.6948,0.891,0.2885,0.5879,0.2276,0.2524,?,0.0406,0.5044,0.255,0.2542,?,0.0513,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,outputSheet 2,0.5457,0.6807,0.8326,0.2085,0.5377,0.2215,0.2576,?,0,0,0.3068,0.2441,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,outputSheet 3,0.6021,0.6948,0.891,0.2885,0.5879,0.1459,0.2524,?,0.0418,0.5039,0.1186,0.2508,?,0.0494,0.5029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,outputSheet 4,0.5743,0.6937,0.8603,0.259,0.556,0.238,0.2485,?,0,0,0.3071,0.2508,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,outputSheet 5,0.6021,0.6948,0.891,0.2885,0.5879,0.0152,0.2715,0.2306,0.0708,0.5137,0.0081,0.2664,0.2495,0.0543,0.5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,outputSheet 6,0.5743,0.6937,0.8603,0.259,0.556,0.1167,0.2485,0.8644,0.162,0.524,0.1379,0.2475,0.8731,0.1519,0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,outputSheet 7,0.6021,0.6948,0.891,0.2885,0.5879,0.0675,0.2524,?,0.0507,0.5055,0.0509,0.2475,?,0.0578,0.5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,outputSheet 8,0.6021,0.6948,0.891,0.2885,0.5879,0.2999,0.2524,?,0,0,0.2877,0.2508,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,outputSheet 9,0.5743,0.6937,0.8603,0.259,0.556,0.0304,0.2523,?,0.0923,0.5182,0.0149,0.2517,?,0.0657,0.5067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,outputSheet 10,0.6021,0.6948,0.891,0.2885,0.5879,0.1177,0.2524,0.857,0.1246,0.5156,0.1278,0.2475,0.8603,0.1427,0.5162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,outputSheet 11,0.558,0.6848,0.8402,0.2187,0.5415,0.0841,0.2508,?,0.1004,0.513,0.0681,0.2508,?,0.0668,0.5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,outputSheet 12,0.6021,0.6948,0.891,0.2885,0.5879,0.2509,0.2524,?,0,0,0.2602,0.2475,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,outputSheet 13,0.6021,0.6948,0.891,0.2885,0.5879,0.2515,0.2524,-0.4563,0,0,0.2642,0.2475,-0.4103,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
